alt,src,price,target,store,clothesType,clothesColor
"BLUSA ML UNICOLOR, H&O, LILA, 94% POLIESTER 6% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc2/h1f/11404707790878/16696046-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa,lila
"SHORT DENIM PATCHWORK, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hdf/hac/11401547710494/16703027-0_product_300Wx450H,"$23,99",mujer,De Prati,short,azul medio
"BODY ML UNICOLOR, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h42/h99/11385668763678/16695817-0_product_300Wx450H,"$15,00",mujer,De Prati,body,negro
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/he5/hb3/11397254873118/16731079-0_product_300Wx450H,"$15,00",mujer,De Prati,cardigan,lila
"CAMISETA CUELLO ALTO ASIMETRICA, H&O, NEGRO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h37/hd3/11395945725982/16730895-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta,negro
"BLAZER ML SIN SOLAPA, EXPRESSIONS, HABANO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h23/h8c/11383288561694/16712341-0_product_300Wx450H,"$59,99",mujer,De Prati,blazer,abano
"PANTALON WIDE LEG CON ELASTICO, ISABELLA, CRUDO, 100% Poliéster, Size 10",https://images.deprati.com.ec/sys-master/images/h34/h87/11325045145630/16701963-0_product_300Wx450H,"$19,99",mujer,De Prati,pantalon,crudo
"FALDA MIDI ESTAMPADA, EXPRESSIONS, NEGRO COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf7/h4a/11383294591006/16712359-0_product_300Wx450H,"$18,00",mujer,De Prati,falda,negro
"BLUSA MS CUELLO REDONDO MID , EXPRESSIONS, VERDE AGUA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/h46/11383367991326/16712945-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,verde
"VESTIDO MLG CON AMARRE, ISABELLA, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hbd/h30/11373918519326/16740487-0_product_300Wx450H,"$19,99",mujer,De Prati,vestido,crudo
